n,concept_en,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun,fur,lij,lmo,sc,scn,vec
1,I (1sg),io,je,yo,jo,eu,ieu,ich,I (1sg),jaz,ja,én,jo,mi,mì,deo,jù,mi
2,you (2sg),tu,tu,tú,tu,tu,tu,"du, Sie",you (2sg),ti,ti,te,tu,ti,tì,tue,tu,ti
3,"he, she, it (3sg)","egli, lui",il,él,ell,ele,el,"er, sie, es","he, she, it (3sg)","on, ona, ono","on, ona, ono",ő,lui,lê,"lù, lüü",issu,iḍḍu,"lu, el"
4,we (1pl),noi,nous,nosotros,nosaltres,nós,nosautres,wir,we (1pl),"mi, me",mi,mi,"noaltris, nô","noî, niâtri","nun, nüm",nois,nuautri,noaltri
5,you (2pl),voi,vous,vosotros,vosaltres,vós,vosautres,"ihr, Sie",you (2pl),"vi, ve",vi,ti,"vô, voaltris","voî, viâtri","violter, viòltar, viotar",bois,vuautri,voaltri
6,they (3pl),"loro, essi","ils m, elles f","ellos m, ellas f","ells m, elles f","eles m, elas f","eles m, elas f",sie,they (3pl),"oni, one","oni, one, ona",ők,lôr,"lô, liâtri",luur,issos,iḍḍi,"lori, i"
7,this,questo,"ce/cet m, cette f","éste m, ésta f","aquest, este m, aquesta, esta f","este m, esta f","aqueste, ~a","dieser, diese, dieses, dies",this,"ta, to","ovaj, taj",ez,chest,"quésto, sto","quell … chì, cal … ché, chì, queschì, isto",custu,chistu,sto qua
8,that,quello,"ce/cet m, cette f","ése m, ésa f (near), aquél m, aquélla f (far)","aquell, eixe m, aquella, eixa f","esse m, essa f (near), aquele m, aquela f (far)","aquel, ~a","der, die, das, jener, jene, jenes",that,"tisti, tista, tisto","taj, onaj",az,chel,quéllo,"quell … lì, cal … lé, lì",cuddu,chiḍḍu,sto la
9,here,"qui, qua",ici,"aquí, acá","aquí, ací",aqui,"aicí, aquí",hier,here,"tu, tukaj","ovde, ovdje",itt,"ca, chi",chi,"chì, chichinscì, chiloo, scià",inoghe,cca,qua
10,there,"lì, là",là,"allí (far), ahí (near)","allà, allí","ali (near), aí (far),",ailà,"da, dort",there,tam,tamo,ott,là,la,"lì, lé, là",addaeche,"ḍḍà, ḍḍocu",là
11,who,chi,qui,"quién sg, quiénes pl",qui,quem,"quin, qual",wer,who,kdo,"ko, tko",ki,cui,chi,"chiè, s'cè, chiè che, s'cè che",chie,cui,chi
12,what,"che, cosa",quoi,qué,"que, què",que,qué,was,what,kaj,"što, šta",mi,ce,"cöse, cösa","cosè, cusè, sa","itte, chi","chi, zoccu","cossa, coss'"
13,where,dove,où,dónde,on,onde,ont,wo,where,kje,"gde, gdje",hol,dulà,dôve,"indoè, inde",ube,unni,ndove
14,when,quando,quand,cuándo,quan,quando,quand,wann,when,kdaj,kada,mikor,cuant,quànde,"quaant, quand",cando,quannu,cuando
15,how,come,comment,cómo,com,como,consí,wie,how,kako,kako,"hogy, hogyan",cemût,cómme,comè,comente,comu,come
16,not,non,ne pas,no,no,não,pas,nicht,not,ne,ne,"nem, ne",no,no,"minga, mìa, méa, nò",nono,"no, noni",no
17,all,tutto,tout,todo,tot,todo,tot,alle,all,vse,sav,"mind, minden",dut,tùtto,"tutt, tüt, töt, tucc, tücc, tücòos, tuscòss",totu,tuttu,tuto
18,many,tanto,"beaucoup, maint (archaic)",mucho,molt,muito,fòrça,viele,many,"veliko, mnogo",mnogo,sok,tancj,tànto,"paricc, assee, tanc",tantu,assai,sai
19,some,alcuni,quelques,algunos,alguns,alguns,qualque,"einige, manche",some,"nekoliko, nekaj",nekoliko,néhány,"cetancj, cualchi",quàrche,on quaj,carchi,quarchi,cualche
20,few,poco,peu,poco,poc,pouco,pauc,wenig,few,malo,malo,kevés,pôc,pöco,pòcch,pacu,picca,poco
21,other,altro,autre m/f,"otro m, otra f","altre m, altra f","outro m, outra f",autre,anderer,other,drugi,drugi,más,altri,âtro,"olter, òltar, otar",àtteru,autru,altro
22,one,"un, uno, una, un'","un m, une f","uno m, un m (before a masculine noun), una f","un m, una f","um m, uma f","un, una",eins,one,ena,jedan,egy,un,un,"vun, vün",unu,unu,un
23,two,due,deux,dos,"dos m, dues f","dois m, duas f","dos, doas","zwei, zwo",two,"dva, dve",dva,kettő,"doi*, dôs*","doî*, dôe*","duu, düü, dò, dó",duos,dui,do
24,three,tre,trois,tres,tres,três,tres,drei,three,tri,tri,három,trê,"tréi*, træ*","trii, tré, trè",tres,tri,tre
25,four,quattro,quatre,cuatro,quatre,quatro,quatre,vier,four,štiri,četiri,négy,cuatri,quàttro,"quater, quatar",battor,quattru,cuatro
26,five,cinque,cinq,cinco,cinc,cinco,cinc,fünf,five,pet,pet,öt,cinc,çìnque,ciinch,chimbe,cincu,zinque
27,big,grande,grand,grande,"gros, gran",grande,"bèl, ~a",groß,big,velik,velik,nagy,grant,grànde,"graant, gross",mannu,granni,grando
28,long,lungo,long,"largo, luengo (obs.)","llarg, llong (obs.)",longo,"long, ~a",lang,long,dolg,dug,hosszú,lunc,lóngo,luunch,longu,longu,longo
29,wide,largo,large,ancho,ample,largo,"larg, ~a","breit, weit",wide,širok,širok,széles,larc,làrgo,laarch,làrgu,largu,largo
30,thick,spesso,"gros, épais",grueso,gruixut,"grosso, espesso","espés, ~sa",dick,thick,debel,debeo,vastag,"penç, grues",drûo,èrtegh,ispìssu,"nfutu, spissu",groso
31,heavy,pesante,lourd,pesado,"pesat, pesant",pesado,"pesuc, ~ga",schwer,heavy,"težek, težak",težak,nehéz,pesant,pezànte,"gréef, ch'el dà al pées",pesante,pisanti,pesanto
32,small,piccolo,petit,pequeño,petit,pequeno,"pichòt/pichon, ~a",klein,small,majhen,mali,kis,piçul,picìn,pinìn,pitzinnu,nicu,picio
33,short,corto,court,corto,curt,curto,"cort, ~a",kurz,short,kratek,kratak,rövid,curt,cùrto,cüürt,curtu,curtu,corto
34,narrow,stretto,étroit,estrecho,estret,estreito,"estrech, ~a","eng, schmal",narrow,ozek,uzak,szűk,stret,stréito,"stréeng, strénc, strècc",istrintu,strittu,strento
35,thin,sottile,maigre,"delgado, fino (objects only)","prim, magre","magro (people), fino (objects)","fin, ~a",dünn,thin,tanek,tanak,vékony,fin,sotî,"fin, sutiir, màgher",suttile,"màguru, siccu",magro
36,woman,donna,femme,mujer,dona,mulher,femna,"Frau, Weib",woman,ženska,žena,nő,femine,dònna,dòna,femina,fìmmina,dona
37,man (adult male),uomo,homme,hombre,home,homem,òme,Mann,man (adult male),moški,muškarac,férfi,om,òmmo,"óm, òmm",omine,omu,omo
38,man (human being),persona,"humain, personne","humano, persona",humà,"humano, pessoa",òme,Mensch,man (human being),človek,"čovek, čovjek",ember,persone,persónn-a,"persóna, òmen",persona,omu,omo
39,child,bambino,enfant,niño,"nen, xiquet",criança,enfant,Kind,child,"otrok, dete","dete, dijete","gyerek, gyermek",frut,figeu,"bagaj, bagajìn, fioeu, tuus",pitzinnu,picciriḍḍu,"mulo, putel"
40,wife,moglie,"épouse, femme","esposa, mujer","esposa, muller","mulher, esposa","esposa, molher","Frau, Ehefrau",wife,žena,"žena, supruga",feleség,femine,mogê,"miée, dòna",pobidda,mugghieri,mujer
41,husband,marito,"mari, époux","marido, esposo","marit, espòs","marido, esposo","espós, marit","Mann, Ehemann",husband,mož,"muž, suprug",férj,marît,"màio, marîo","marii, òmm",maridu,maritu,omo
42,mother,madre,"mère, maman","madre, mamá",mare,mãe,maire,Mutter,mother,mati,"mati, majka",anya,mari,moæ,"mamm, mam",mama,matri,mare
43,father,padre,père,"padre, papá, tata",pare,pai,paire,Vater,father,oče,otac,apa,pari,poæ,"pà, pader",babbu,patri,pare
44,animal,animale,animal,animal,animal,animal,animal,Tier,animal,žival,"životinja, zver, zvijer",állat,"animâl, nemâl",animâ,bèstia,animale,armalu,bestia
45,fish,pesce,poisson,pez,peix,peixe,peis,Fisch,fish,riba,riba,hal,pes,péscio,pèss,pische,pisci,pese
46,bird,uccello,oiseau,"ave, pájaro","ocell, au","ave, pássaro",aucèl,Vogel,bird,"ptič, ptica",ptica,madár,ucel,öxéllo,üsèl,puzone,aceḍḍu,usel
47,dog,cane,chien,"perro, can (rare)","gos, ca",cão,"gos, can, chin",Hund,dog,pes,pas,"kutya, eb (formal or literary)",cjan,càn,caŋ,cane,cani,can
48,louse,pidocchio,pou,piojo,poll,piolho,pesolh,Laus,louse,uš,"uš, vaš",tetű,pedoli,pighéuggio,piöcc,peugu,pidocchiu,pedocio
49,snake,serpente,serpent,"serpiente, culebra, sierpe (obs.)",serp,"serpe, serpente, cobra",sèrp,Schlange,snake,kača,"zmija, gad",kígyó,"serpint, madrac",serpénte,biss,serpente,sirpenti,bisa
50,worm,verme,ver,"gusano, verme (Zool.)",cuc,verme,vèrm,Wurm,worm,črv,"crv, glista",féreg,vier,verme,"giuanìŋ, biótt, cagnon",berme,vermi,verme
51,tree,"albero, pianta",arbre,árbol,arbre,árvore,aubre,Baum,tree,drevo,drvo,fa,arbul,èrbo,"piànta, piònta",alvure,chianta,pianta
52,forest,"foresta, bosco","forêt, sylve (rare), bois","bosque, floresta, selva","bosc, forest (rare)","floresta, bosque, selva",bòsc,"Forst, Wald",forest,gozd,šuma,erdő,bosc,bosco,busch,buscu,voscu,bosco
53,stick,bastone,bâton,"palo, vara, bastón (cane)","bastó, pal","bastão, pau, vara",baston,Stock,stick,palica,"štap, prut, palica",bot,"baston, mace",bacco,bastùŋ,bastone,vastuni,baston
54,fruit,frutta,fruit,"fruto, fruta","fruit, fruita","fruto, fruta",fruch,"Frucht, Obst",fruit,"plod, sadež","voće, plod",gyümölcs,pome,frûta,früt,frutta,fruttu,fruto
55,seed,seme,semence,semilla,"llavor, semença (rare)",semente,"semen, grana","Samen, Saat",seed,seme,"seme, sjeme",mag,samence,armella,"soménza, suménza",semene,simenza,seme
56,leaf,foglia,feuille,hoja,fulla,folha,"fuèlha, fuòlha",Blatt,leaf,list,list,levél,fuee,féuggia,"föja, foeuja",foza,fogghia,foja
57,root,radice,racine,raíz,"arrel, rel",raiz,rasiga,Wurzel,root,koren,"koren, korijen",gyökér,lidrîs,réixe,"sciocch, sciùch",raighina,ràdica,radise
58,bark (of a tree),corteccia,écorce,corteza,escorça,casca,rusca,"Borke, Rinde",bark (of a tree),skorja,kora,kéreg,scuarce,scorsa,"scòrza, pèll",iscortza,scorcia,scorza
59,flower,fiore,fleur,flor,flor,flor,flor,Blume,flower,"roža, cvet","cvet, cvijet",virág,flôr,sciô,"fiuur, fiùu",flore,ciuri,fior
60,grass,erba,herbe,hierba,herba,erva,èrba,Gras,grass,trava,trava,fű,jerbe,erba,èrba,erva,erba,erba
61,rope,"corda, fune",corde,cuerda,corda,corda,còrda,"Leine, Seil, Strick",rope,vrv,"uže, konopac",kötél,cuarde,corda,còrda,corda,corda,corda
62,skin,pelle,peau,piel,pell,pele,pèl,Haut,skin,koža,koža,bőr,piel,pelle,pèll,pedde,peḍḍi,pele
63,meat,carne,"chair, (food) viande",carne,carn,carne,carn,Fleisch,meat,meso,meso,hús,cjar,carne,càrna,petta,carni,carne
64,blood,sangue,sang,sangre,sang,sangue,sang,Blut,blood,kri,krv,vér,sanc,sàngoe,sàanch,sambene,sangu,sangue
65,bone,osso,os,hueso,os,osso,òs,Knochen,bone,kost,kost,csont,vues,osso,òss,ossu,ossu,oso
66,fat (noun),grasso,gras,grasa,greix,gordura,grais,Fett,fat (noun),maščoba,"mast, salo",háj,gras,grascia,grass,grassu,"grassu, sivu",graso
67,egg,uovo,œuf,huevo,ou,ovo,uòu,Ei,egg,jajce,jaje,tojás,ûf,êuvo,"ööf, oeuf",ou,ovu,ovo
68,horn,corno,corne,cuerno,banya,corno,bana,Horn,horn,rog,rog,szarv,cuar,corno,còrnu,corru,cornu,corno
69,tail,coda,queue,cola,cua,cauda,coá,"Schwanz, Schweif",tail,rep,rep,farok,code,côa,cùa,coa,cuda,coda
70,feather,penna,plume,pluma,ploma,pluma,pluma,Feder,feather,pero,pero,toll,plume,penna,"pèna, badina, piüm",pinna,pinna,pena
71,hair,capello,"cheveu, poil (rare)","cabello, pelo","cabell, pèl","cabelo, pelo",pel,Haar,hair,lasje,"kosa, dlaka, vlas",haj,cjavel,cavello,cavèj,pilos,capiḍḍu,cavel
72,head,testa,"tête, chef (rare)",cabeza,cap,cabeça,cap,"Haupt, Kopf",head,glava,glava,fej,cjâf,testa,"coo, cràpa",conca,"capu, testa","crapa, testa"
73,ear,orecchio,oreille,oreja,orella,orelha,aurelha,Ohr,ear,uho,"uho, uvo",fül,orele,oêgia,urégia,orija,aricchia,recia
74,eye,occhio,œil,ojo,ull,olho,"uèlh, uòlh",Auge,eye,oko,oko,szem,voli,éuggio,"oeugg, öcc",oju,occhiu,ocio
75,nose,naso,nez,nariz,nas,nariz,nas,Nase,nose,nos,nos,orr,nâs,nâzo,naas,nasu,nasu,naso
76,mouth,bocca,bouche,boca,boca,boca,boca,Mund,mouth,usta,usta,száj,bocje,bocca,buca,bucca,vucca,boca
77,tooth,dente,dent,diente,dent,dente,dent,Zahn,tooth,zob,zub,fog,dint,dente,"dinc, déent",dente,denti,dente
78,tongue (organ),lingua,langue,lengua,llengua,língua,lenga,Zunge,tongue (organ),jezik,jezik,nyelv,lenghe,léngoa,léngua,limba,lingua,lingua
79,fingernail,unghia,ongle,uña,ungla,unha,ongla,Fingernagel,fingernail,noht,nokat,köröm,ongule,ongia,üngia,ugna,ugna,ongia
80,foot,piede,pied,pie,peu,pé,pè,Fuß,foot,"noga, stopalo","stopa, stopalo",lábfej,pît,pê,pè,pe’,pedi,pie
81,leg,gamba,jambe,pierna,cama,perna,camba,Bein,leg,noga,noga,láb,gjambe,ganba,"gàmba, garon",camba,gamma,gamba
82,knee,ginocchio,genou,"rodilla, hinojo (old-f.)",genoll,joelho,genolh,Knie,knee,koleno,"koleno, koljeno",térd,zenoli,zenoggio,"genoeugg, genöcc, ginöcc",benuju,dinocchiu,genocio
83,hand,mano,main,mano,mà,mão,man,Hand,hand,roka,"ruka, šaka",kéz,man,man,maŋ,manu,manu,man
84,wing,ala,aile,ala,ala,asa,ala,"Fittich, Flügel, Schwinge",wing,"krilo, perut",krilo,szárny,ale,âa,àla,ala,ala,ala
85,belly,pancia,ventre,"vientre, barriga","ventre, panxa","ventre, barriga",ventre,"Bauch, Leib",belly,trebuh,"stomak, trbuh",has,panze,pansa,"borigia, venter, pànza",panza,panza,panza
86,guts,intestino,"entrailles pl, tripes pl, intestins pl","tripas pl, intestinos pl, entrañas pl","budells pl, intestins pl, tripes pl","tripas pl, entranhas  pl, intestinos pl","tripa, budèl","Eingeweide, Gedärm, Innereien, Kaldaunen",guts,"drobovje, črevo","crevo, crijevo",bél,intestin,intestin,"büèl, buvell",bolloros,vureḍḍu,budela
87,neck,collo,"cou, nuque (nape)","cuello, nuca (nape)","coll, nuca (nape)","pescoço, colo (rare), nuca (nape)",còl,"Hals, Nacken",neck,vrat,"vrat, šija",nyak,cuel,collo,còl,collu,coḍḍu,colo
88,back,schiena,dos,"espalda (human), lomo (animal)","esquena (human), llom (animal)","costas pl / (human), lombo (animal)",esquina,Rücken,back,hrbet,leđa,hát,schene,schénn-a,"s'céna, r'céna, schèna",ischina,carina,schena
89,breast,petto,"poitrine, sein","pecho, seno","pit, si","peito, seio","pièch, pitre","Brust, Busen",breast,"prsi, nedra","grudi, prsa",mell,pet,pêto,pecc,pettus,pettu,"peto, teta"
90,heart,cuore,cœur,corazón,cor,coração,còr,Herz,heart,srce,srce,szív,cûr,cheu,"cöör, coeur",coro,cori,cor
91,liver,fegato,foie,hígado,fetge,fígado,fetge,Leber,liver,jetra,jetra,máj,fiât,figæto,"fidegh, fìdech",fidigu,fìcatu,fedigo
92,to drink,bere,boire,"beber, tomar",beure,beber,beure,trinken,to drink,piti,piti,iszik,bevi,béive,"béef, trincà",biere,vìviri,bever
93,to eat,mangiare,manger,comer,menjar,comer,manjar,essen,to eat,jesti,jesti,eszik,mangjâ,mangiâ,"mangià, majà, maeà, magnà",pappare,"manciari, pistiari",magnar
94,to bite,mordere,mordre,morder,mossegar,morder,mossegar,beißen,to bite,gristi,"ujesti, ugristi",harap,muardi,adentâ,"cagnà, sgagnà",mordere,muzzicari,morsigar
95,to suck,succhiare,sucer,chupar,xuclar,chupar,chucar,"lutschen, saugen",to suck,sesati,sisati,"szop, szopik",supâ,susâ,"sciüscià, ciücà",suere,sucari,ciuciar
96,to spit,sputare,cracher,escupir,escopir,cuspir,escopir,"speien, spucken",to spit,pljuvati,pljuvati,köp,spudâ,spuâ,"spüà, spuvà",istuppiare,sputari,spudar
97,to vomit,vomitare,vomir,vomitar,vomitar,vomitar,racar,"brechen, erbrechen",to vomit,"bruhati, bljuvati",povraćati,hány,gomitâ,vomitâ,"trà sù, trà sü",istercorare,sbummicari,vometar
98,to blow,soffiare,souffler,soplar,bufar,soprar,bofar,"blasen, pusten, wehen",to blow,pihati,"duvati, puhati",fúj,soflâ,sciusciâ,"boffà, bufà",buffare,ciusciari,sofiar
99,to breathe,respirare,respirer,respirar,respirar,respirar,alenar,atmen,to breathe,dihati,disati,lélegzik,respirâ,respiâ,fiadà,respirare,ciatari,respirar
100,to laugh,ridere,rire,reír,riure,rir,rire,lachen,to laugh,smejati se,"smejati se, smijati se",nevet,ridi,rîe,"ghignà, riit",riere,rìdiri,rider
101,to see,vedere,voir,ver,"veure, vore",ver,"veire, véser",sehen,to see,videti,"videti, vidjeti",lát,viodi,védde,"vedè, véet",vìdere,vìdiri,veder
102,to hear,sentire,"entendre, (obs.) ouïr",oír,sentir,ouvir,"ausir, entendre",hören,to hear,slišati,čuti,hall,sintî,sentî,sentì,sentire,sèntiri,sentir
103,to know,sapere,savoir,saber,saber,saber,"saber, saupre","kennen, wissen",to know,vedeti,znati,tud,savê,savéi,"savè, cognoss, cugnuss",ischire,sapiri,saver
